1-2-2020,T,ABC,Dollar,sdjhsdf234,1-2-2020 6:00,101,1-2-2020 16:00,35.2,10,,,,
1-2-2020,T,ABC,Dollar,12323asdas,1-2-2020 7:00,102,1-2-2020 16:00,23.2,5,,,,
1-2-2020,T,DES,Euro,asdasd243,1-2-2020 8:00,103,1-2-2020 16:00,20.3,2,,,,
1-2-2020,T,DES,Dollar,234asd,1-2-2020 9:00,104,1-2-2020 16:00,29.2,7,,,,
1-2-2020,T,EFG,Dollar,56r5dfg,1-2-2020 10:00,mystring,1-2-2020 16:00,57.4,26,,,,
1-2-2020,Z,DES,Euro,,1-2-2020 11:00,106,1-2-2020 16:00,,,1.7,45,9.7,30
1-2-2020,Q,DES,Dollar,,1-2-2020 12:00,107,1-2-2020 16:00,,,asd,2,4.3,10
1-2-2020,Q,DES,Dollar,,1-2-2020 13:00,108,1-2-2020 16:00,,,12.3,45,21.2,3
1-2-2020,Q,ABC,Euro,,1-2-2020 14:00,109,1-2-2020 16:00,,,41.8,3,65.2,4
1-2-2020,Q,ABC,Dollar,,1-2-2020 15:00,110,1-2-2020 16:00,,,32.1,5,2,12
